Review_ID,Review_Text,Rating,Expected_Sentiment,Cleaned_Review,Predicted_Sentiment,Review_Length
1,Very satisfied with the performance.,4,Positive,satisfied performance,Positive,21
2,"It's okay, nothing special.",3,Neutral,okay nothing special,Negative,20
3,Great value for money.,4,Positive,great value money,Positive,17
4,The product stopped working after one day.,1,Negative,product stopped working one day,Negative,31
5,Fast delivery and excellent packaging.,5,Positive,fast delivery excellent packaging,Positive,33
6,I love this product. It works perfectly.,5,Positive,love product works perfectly,Positive,28
7,Highly durable and reliable.,4,Positive,highly durable reliable,Neutral,23
8,The product matches the description.,3,Neutral,product matches description,Neutral,27
9,Amazing purchase. Exceeded my expectations.,4,Positive,amazing purchase exceeded expectations,Positive,38
10,Amazing purchase. Exceeded my expectations.,4,Positive,amazing purchase exceeded expectations,Positive,38
11,Great value for money.,5,Positive,great value money,Positive,17
12,"Excellent product, highly recommended!",4,Positive,excellent product highly recommended,Positive,36
13,Completely dissatisfied with this purchase.,2,Negative,completely dissatisfied purchase,Negative,32
14,Not as described.,2,Negative,described,Neutral,9
15,Very satisfied with the performance.,4,Positive,satisfied performance,Positive,21
16,Poor packaging and damaged item.,2,Negative,poor packaging damaged item,Negative,27
17,Great value for money.,5,Positive,great value money,Positive,17
18,Very good quality and worth the price.,4,Positive,good quality worth price,Positive,24
19,The product is defective.,1,Negative,product defective,Negative,17
20,Fantastic quality and easy to use.,4,Positive,fantastic quality easy use,Positive,26
21,Great value for money.,4,Positive,great value money,Positive,17
22,Delivery was acceptable.,3,Neutral,delivery acceptable,Positive,19
23,Poor packaging and damaged item.,2,Negative,poor packaging damaged item,Negative,27
24,It works as expected.,3,Neutral,works expected,Neutral,14
25,Fantastic quality and easy to use.,4,Positive,fantastic quality easy use,Positive,26
26,I love this product. It works perfectly.,4,Positive,love product works perfectly,Positive,28
27,It works as expected.,3,Neutral,works expected,Neutral,14
28,Highly durable and reliable.,5,Positive,highly durable reliable,Neutral,23
29,Very satisfied with the performance.,4,Positive,satisfied performance,Positive,21
30,Delivery was acceptable.,3,Neutral,delivery acceptable,Positive,19
